Name;Birthday;Address (CAP);Age;Workclass;Education;Marital-status;Occupation;Relationship;Race;Sex;Native-Country;Income
Adolf;09/12/1995;22489 , Germany;37; Private; Some-college; Married-civ-spouse; Adm-clerical; Husband; Asian-Pac-Islander; Male; Canada; >50K
Margareth;05/10/1960;4299, Phillipines;31; Local-gov; Masters; Never-married; Other-service; Other-relative; White; Female; England; >50K
Benny;28/04/1965;7039,  United-States;45; Self-emp-inc; Prof-school; Divorced; Tech-support; Not-in-family; White; Male; Germany; >50K
Truman;18/09/1990;25813,  United-States;63; Federal-gov; HS-grad; Widowed; Farming-fishing; Not-in-family; Black; Male; Iran; >50K
Rudolf;31/01/1997;30381,  United-States;21; Self-emp-not-inc; Bachelors; Widowed; Craft-repair; Not-in-family; Other; Male; Jamaica; >50K
Jenny;11/03/1950;94209, United-States;35; Private; Assoc-voc; Divorced; Machine-op-inspct; Not-in-family; Asian-Pac-Islander; Female; United-States; <=50K
Laura;03/01/1981;84015, Italy;66; Local-gov; Assoc-acdm; Never-married; Adm-clerical; Not-in-family; Black; Female; Mexico; <=50K
Silvia;20/04/1971;58282, United-States;63; Self-emp-inc; 7th-8th; Married-civ-spouse; Exec-managerial; Wife; Other; Female; Peru; <=50K
Hans;06/07/1999;22589 , Germany;39; Federal-gov; 9th; Married-civ-spouse; Sales; Husband; White; Male; Philippines; <=50K
Olivia;03/05/1975;04100, Italy;62; Self-emp-not-inc; 10th; Married-civ-spouse; Prof-specialty; Wife; White; Female; United-States; >50K
Jean;25/09/1978;22489, Austria;41; Private; Bachelors; Married-civ-spouse; Handlers-cleaners; Husband; White; Male; Germany; <=50K
Anne;09/12/1995;4299, France;24; Private; Bachelors; Never-married; Priv-house-serv; Not-in-family; White; Female; France; <=50K
Veronica;12/06/1985;7039, Italy;34; State-gov; Bachelors; Married-civ-spouse; Adm-clerical; Husband; White; Male; Italy; <=50K
Mario;18/09/1985;25813, Italy;34; State-gov; Bachelors; Married-civ-spouse; Adm-clerical; Husband; White; Male; Italy; <=50K
Gaspare;31/07/1965;30381, United-States;54; Self-emp-not-inc; Bachelors; Married-civ-spouse; Sales; Husband; White; Male; United-States; >50K
Susenne;23/01/1971;94209, United-States;48; Private; Bachelors; Divorced; Other-service; Unmarried; White; Female; United-States; >50K
Ashen;13/03/1992;84015, France;27; Private; Bachelors; Never-married; Tech-support; Not-in-family; Black; Female; France; <=50K
Sonia;22/10/1976;58282, United-States;43; Private; 10th; Married-civ-spouse; Machine-op-inspct; Husband; Black; Male; United-States; >50K
Abdul;26/09/1994;22589, Africa;25; Private; 10th; Never-married; Other-service; Not-in-family; White; Male; Nicaragua; <=50K
Cameron;14/10/1962;4100, United-States;55; Private; 10th; Married-civ-spouse; Craft-repair; Husband; White; Male; United-States; >50K
Gregory;07/11/1976;7101, United-States;43; Local-gov; Masters; Never-married; Prof-specialty; Unmarried; White; Male; United-States; >50K
Marianna;21/09/1998;118, Italy;21; Private; Bachelors; Never-married; Farming-fishing; Unmarried; White; Female; Italy; <=50K
Foreman;03/01/1985;5664, United-States;34; Local-gov; Masters; Married-civ-spouse; Prof-specialty; Husband; Black; Male; France; >50K
Taub;08/05/1978;881, United-States;41; Local-gov; Masters; Divorced; Prof-specialty; Not-in-family; White; Male; England; >50K
Marco;08/12/1995;234, Italy;24; Private; HS-grad; Never-married; Sales; Not-in-family; Black; Male; Peru; <=50K
Lucas;04/11/1994;730, France;25; Self-emp-not-inc; Some-college; Divorced; Handlers-cleaners; Not-in-family; White; Male; Germany; <=50K
Gino;27/06/1967;262728, Austria;52; Self-emp-inc; Some-college; Widowed; Other-service; Not-in-family; Asian-Pac-Islander; Male; Jamaica; >50K
Annina;03/02/1970;4000, Phillipines;49; State-gov; 10th; Married-civ-spouse; Sales; Wife; Other; Female; Mexico; <=50K
Ebry;30/08/1995;22556, Africa;24; Federal-gov; 7th-8th; Never-married; Other-service; Wife; Other; Female; Canada; <=50K
Ethas;01/12/1990;20345, Germany;29; Private; 9th; Never-married; Exec-managerial; Wife; Asian-Pac-Islander; Female; Iran; <=50K
Ginius;05/05/1972;9876, Italy;47; Private; Some-college; Married-civ-spouse; Exec-managerial; Husband; White; Male; United-States; >50K
Giuseppina;20/12/1978;6574, England;41; Self-emp-inc; Some-college; Divorced; Machine-op-inspct; Not-in-family; White; Female; Honduras; >50K
Sirius;30/11/1991;2345, Africa;28; Private; Some-college; Never-married; Protective-serv; Own-child; White; Male; Honduras; <=50K
Leona;01/07/1985;2013, Iran;34; Private; Prof-school; Never-married; Prof-specialty; Not-in-family; Asian-Pac-Islander; Female; Italy; >50K
Lisa;04/02/1989;3871, Austria;30; Federal-gov; Prof-school; Never-married; Prof-specialty; Not-in-family; Black; Female; United-States; <=50K
Caddy;20/08/1979;2111, Germany;40; Local-gov; Prof-school; Separated; Prof-specialty; Own-child; Black; Female; Canada; <=50K
Sam;03/04/1973;456, United-States;46; Private; Masters; Married-civ-spouse; Prof-specialty; Husband; White; Male; United-States; >50K
Deadman;25/03/1961;552, United-States;58; State-gov; Masters; Married-civ-spouse; Prof-specialty; Husband; White; Male; United-States; >50K
Hardman;11/09/1983;789, United-States;36; Private; Masters; Married-civ-spouse; Prof-specialty; Husband; Asian-Pac-Islander; Male; United-States; >50K
Higs;01/09/1982;678, United-States;36; Private; Masters; Married-civ-spouse; Sales; Husband; White; Male; France; >50K
Fragile;28/02/1973;136, United-States;46; Self-emp-inc; Masters; Married-civ-spouse; Exec-managerial; Wife; Black; Female; Jamaica; >50K
Giulhio;04/03/1966;4923, Iran;53; Private; HS-grad; Divorced; Transport-moving; Not-in-family; White; Male; Italy; <=50K
Helio;07/04/1979;711, Canada;40; Private; HS-grad; Married-spouse-absent; Craft-repair; Not-in-family; Asian-Pac-Islander; Male; Germany; >50K
Avio;30/05/1986;933, Canada;33; Private; HS-grad; Never-married; Craft-repair; Not-in-family; Black; Male; Peru; <=50K
Kirale;12/06/1968;651, Italy;51; Private; HS-grad; Never-married; Craft-repair; Not-in-family; White; Male; England; >50K
Rita;09/04/1981;981, United-States;38; Private; HS-grad; Never-married; Prof-specialty; Not-in-family; White; Female; Iran; >50K
Carmela;14/12/1977;1234, Phillipines;42; State-gov; HS-grad; Never-married; Protective-serv; Not-in-family; Black; Female; Mexico; <=50K
Settimio;09/12/1995;22489 , Germany;27; Private; Some-college; Married-civ-spouse; Adm-clerical; Husband; Asian-Pac-Islander; Male; Canada; <=50K
Lella;05/10/1960;4299, Phillipines;82; Local-gov; Masters; Never-married; Other-service; Other-relative; White; Female; England; >50K
Hulio;28/04/1965;7039,  United-States;45; Self-emp-inc; Prof-school; Divorced; Tech-support; Not-in-family; Black; Male; Germany; >50K
Kojima;18/09/1990;25813,  United-States;43; Federal-gov; HS-grad; Widowed; Farming-fishing; Not-in-family; White; Male; Iran; <=50K
Raiden;31/01/1997;30381,  United-States;22; Self-emp-not-inc; Bachelors; Widowed; Craft-repair; Not-in-family; Other; Male; Jamaica; >50K
Pepp;11/03/1950;94209, United-States;55; Private; Assoc-voc; Divorced; Machine-op-inspct; Not-in-family; Asian-Pac-Islander; Female; United-States; >50K
Giovanna;03/01/1981;84015, Italy;71; Local-gov; Assoc-acdm; Never-married; Adm-clerical; Other-relative; Black; Female; Mexico; <=50K
Nekonami;20/04/1971;58282, United-States;33; Self-emp-inc; 7th-8th; Married-civ-spouse; Exec-managerial; Wife; Other; Female; Peru; <=50K
Virginio;06/07/1999;22589 , Germany;39; Federal-gov; 9th; Married-civ-spouse; Sales; Husband; White; Male; Philippines; <=50K
Lillia;03/05/1975;04100, Italy;52; Self-emp-not-inc; 10th; Married-civ-spouse; Prof-specialty; Wife; White; Female; United-States; >50K
Paul;25/09/1978;22489, Austria;41; Private; Bachelors; Married-civ-spouse; Handlers-cleaners; Husband; Asian-Pac-Islander; Male; Germany; <=50K
Pina;09/12/1995;4299, France;29; Private; Bachelors; Never-married; Priv-house-serv; Not-in-family; White; Female; France; <=50K
Andrek;12/06/1985;7039, Italy;34; State-gov; Bachelors; Married-civ-spouse; Adm-clerical; Husband; White; Male; Italy; <=50K
Alien;18/09/1985;25813, Italy;29; State-gov; Bachelors; Married-civ-spouse; Adm-clerical; Own-child; White; Male; Italy; <=50K
Gioggiorgio;31/07/1965;30381, United-States;54; Self-emp-not-inc; Bachelors; Married-civ-spouse; Sales; Unmarried; White; Male; United-States; >50K
Alexa;23/01/1971;94209, United-States;48; Private; Bachelors; Divorced; Other-service; Unmarried; White; Female; United-States; >50K
Holette;13/03/1992;84015, France;27; Private; Bachelors; Never-married; Tech-support; Not-in-family; Black; Female; France; <=50K
Mister;22/10/1976;58282, United-States;43; Private; 10th; Married-civ-spouse; Machine-op-inspct; Husband; Black; Male; United-States; >50K
Oleos;26/09/1994;22589, Africa;25; Private; 10th; Never-married; Other-service; Not-in-family; White; Male; Nicaragua; <=50K
Deuz;14/10/1962;4100, United-States;55; Private; 10th; Married-civ-spouse; Craft-repair; Husband; Other; Male; United-States; >50K
Valerio;07/11/1976;7101, United-States;43; Local-gov; Masters; Never-married; Prof-specialty; Unmarried; White; Male; United-States; >50K
Mama;21/09/1998;118, Italy;31; Private; Bachelors; Never-married; Farming-fishing; Unmarried; White; Female; Canada; <=50K
Hideo;03/01/1985;5664, United-States;36; Local-gov; Masters; Married-civ-spouse; Prof-specialty; Husband; Black; Male; France; >50K
Hiremo;08/05/1978;881, United-States;41; Local-gov; Masters; Divorced; Prof-specialty; Not-in-family; White; Male; England; >50K
